,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
73,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.8216818181818182,1.0,0.6433636363636364,0.7829839021961609
74,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.8202727272727273,1.0,0.6405454545454545,0.7808932727474233
75,Gaussian Naive Bayes,Holdout,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.8224545454545454,1.0,0.6449090909090909,0.7841273350281861
76,Gaussian Naive Bayes,Holdout,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.8209090909090909,1.0,0.6418181818181818,0.7818383167220376
77,Gaussian Naive Bayes,Holdout,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.8217727272727273,1.0,0.6435454545454545,0.7831185353172188
78,Gaussian Naive Bayes,Holdout,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.8216818181818182,1.0,0.6433636363636364,0.7829839021961609
79,Gaussian Naive Bayes,Holdout,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.8202727272727273,1.0,0.6405454545454545,0.7808932727474233
80,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.541,1.0,0.082,0.15157116451016636
81,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.5413181818181818,1.0,0.08263636363636363,0.15265765387522043
82,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.5397727272727273,1.0,0.07954545454545454,0.14736842105263157
83,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.5400454545454545,1.0,0.08009090909090909,0.1483040148135679
84,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.5437272727272727,1.0,0.08745454545454545,0.16084266845009196
85,Gaussian Naive Bayes,Holdout,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.541,1.0,0.082,0.15157116451016636
86,Gaussian Naive Bayes,Holdout,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.5413181818181818,1.0,0.08263636363636363,0.15265765387522043
87,Gaussian Naive Bayes,Holdout,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.5397727272727273,1.0,0.07954545454545454,0.14736842105263157
88,Gaussian Naive Bayes,Holdout,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.5400454545454545,1.0,0.08009090909090909,0.1483040148135679
89,Gaussian Naive Bayes,Holdout,-,Abs Correlation 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.5437272727272727,1.0,0.08745454545454545,0.16084266845009196
90,Knn,Grid Search 3 folds,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.8785909090909091,0.9756710451170759,0.7765454545454545,0.8647937231080739
91,Knn,Grid Search 3 folds,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.8756818181818182,0.9733134807009506,0.7725454545454545,0.8613856368151639
92,Knn,Grid Search 3 folds,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.8765454545454545,0.9734796524919982,0.7741818181818182,0.8624670852744583
93,Knn,Grid Search 3 folds,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.8770909090909091,0.9750343563902886,0.774,0.8629637137644436
94,Knn,Grid Search 3 folds,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.8753181818181818,0.9739409941453335,0.7712727272727272,0.8608391253614732
95,Knn,Holdout,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.8840454545454546,0.9633651420423385,0.7984545454545454,0.8731918278073271
96,Knn,Holdout,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.8825909090909091,0.9654905430815175,0.7935454545454546,0.8711142158574922
97,Knn,Holdout,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.8813636363636363,0.9621061907909231,0.794,0.8700069728060564
98,Knn,Holdout,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.8819090909090909,0.962359674224081,0.7949090909090909,0.8706561784327392
99,Knn,Holdout,-,Tree,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.8819090909090909,0.9654331929980058,0.7921818181818182,0.8702686507540197
